name,discountPrice,oldPrice,discount,image,rating,category,merchant
Studio Microphone Pop Filter Windscreen Mic Sound Shield,"₦ 4,950","₦ 9,500",48%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/323317/1.jpg?7565,3.9 out of 5(21),microphones,not available
Studio Microphone Pop Filter Windscreen Mic Sound Shield,"₦ 4,950","₦ 8,000",38%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/950317/1.jpg?7354,4.6 out of 5(34),microphones,not available
"Microphone Gooseneck Wired Conference Microphone:Clear Sound,Low Noise,Suitable For Large Conferences,Speeches","₦ 8,999","₦ 15,000",40%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/939346/1.jpg?8508,5 out of 5(1),microphones,not available
Shure SM58 Legendary Cardioid Dynamic Vocal Microphone,"₦ 8,500","₦ 17,500",51%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/561766/1.jpg?1606,5 out of 5(1),microphones,not available
Shure SM58 Legendary Cardioid Dynamic Vocal Microphone,"₦ 8,500","₦ 17,000",50%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/261766/1.jpg?9925,4 out of 5(5),microphones,not available
Studio Microphone Pop Filter Windscreen Mic Sound Shield,"₦ 6,500","₦ 7,800",17%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/832638/1.jpg?2447,3 out of 5(1),microphones,not available
4 In 1 Adjustable Microphone Isolation Shield/Vocal Booth,"₦ 35,700","₦ 78,000",54%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/617907/1.jpg?4063,4.6 out of 5(24),microphones,not available
Shure SM58 Legendary Cardioid Dynamic Vocal Microphone,"₦ 9,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/4203821/1.jpg?4530,4 out of 5(1),microphones,not available
Yamaha Wireless Microphone With 2 Mics,"₦ 29,900","₦ 35,000",15%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/512776/1.jpg?6774,not available,microphones,not available
Yamaha VHF Wireless Microphone With 2 Mic - YM288,"₦ 29,999","₦ 39,000",23%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/228976/1.jpg?1793,4 out of 5(1),microphones,not available
Boya Lapel Microphone Lavalier For Smartphones DSLR PC Camcorders,"₦ 9,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/3146111/1.jpg?1073,not available,microphones,not available
Neewer NW-700 Professional Studio Broadcasting & Recording Condenser Microphone With Shock Mount,"₦ 26,202","₦ 30,000",13%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/556236/1.jpg?4703,2.3 out of 5(3),microphones,not available
"Professional Adjustable Desk Recording Microphone Stand With Phone Holder,Pop Filter.","₦ 13,500","₦ 15,600",13%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/189293/1.jpg?6808,4.1 out of 5(26),microphones,not available
Portable Handheld Wireless Bluetooth Microphone,"₦ 6,999",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/518668/1.jpg?4601,5 out of 5(1),microphones,not available
Boya Lapel Microphone Lavalier For Smartphones PC Camcorders DSLR,"₦ 9,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/1936111/1.jpg?0925,5 out of 5(1),microphones,not available
Behringer C1 Studio Condenser Microphone,"₦ 94,000",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/6385351/1.jpg?3244,not available,microphones,not available
Wireless Cell Phone Microphone K8 Wireless Lavalier Android Phone,"₦ 6,664","₦ 11,995",44%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/6536662/1.jpg?8654,4 out of 5(1),microphones,not available
Boya Lapel Microphone Lavalier For Smartphones DSLR PC Camcorders,"₦ 10,000",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/0453352/1.jpg?4866,not available,microphones,Express Shipping
Sony Dynamic Sony  Weird And Wireless Microphone,"₦ 7,500","₦ 18,500",59%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/492756/1.jpg?2482,not available,microphones,not available
Table Microphone Stand / Desktop Mic Stand With Round Base,"₦ 13,999","₦ 15,500",10%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/675966/1.jpg?4426,5 out of 5(1),microphones,not available
Professional Broadcasting Studio Recording Condenser,"₦ 40,000",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/870977/1.jpg?4335,5 out of 5(1),microphones,not available
"K8 Wireless Lavalier Microphone for TikTok Vlog YouTube, Facebook Live","₦ 8,763","₦ 12,319",29%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/1652462/1.jpg?8576,not available,microphones,not available
Studio Microphone Pop Filter Windscreen Mic Sound Shield,"₦ 15,000","₦ 18,000",17%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/984289/1.jpg?0382,not available,microphones,not available
4 In 1 Professional 4-Channel Handheld Wireless Microphone System - SM 9090,"₦ 124,500","₦ 139,000",10%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/731691/1.jpg?3600,4.6 out of 5(8),microphones,not available
Studio Microphone  Filter Windscreen Mic Mask Shield,"₦ 7,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/9514251/1.jpg?8329,not available,microphones,not available
K8 wireless lavalier microphone is suitable for TYPE-C Android mobile phones,"₦ 8,636","₦ 12,192",29%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/1262462/1.jpg?9580,not available,microphones,not available
Universal Mobile Phone Dustproof Net Stickers Speaker Mesh Anti Dust Adhesive Sticker for Phone Speaker,"₦ 2,845","₦ 5,690",50%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/2283102/1.jpg?2881,1 out of 5(1),microphones,not available
Desk Recording Adjustable Condenser Microphone Stand/Cantilever,"₦ 6,700",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/044966/1.jpg?7324,4.5 out of 5(2),microphones,not available
K8 wireless lavalier microphone is suitable for TYPE-C Android mobile phones,"₦ 8,636","₦ 12,192",29%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/5072462/1.jpg?0599,not available,microphones,not available
Samsung Uni-Directional Tie-Clip Microphone System,"₦ 7,500","₦ 15,500",52%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/124706/1.jpg?0845,5 out of 5(1),microphones,not available
Shure SM58 Legendary Cardioid Dynamic Vocal Microphone,"₦ 8,500","₦ 17,500",51%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/361766/1.jpg?1005,not available,microphones,not available
Shure SM58 Legendary Cardioid Dynamic Vocal Microphone,"₦ 11,000",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/3414251/1.jpg?1867,not available,microphones,not available
Plug and Play Clip-on Wireless Microphones 20M Omnidirectional Recording,"₦ 27,051 - ₦ 32,385",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/7904032/1.jpg?1734,not available,microphones,not available
Omax DH-744 Wireless Microphone System With 2 Mics,"₦ 40,000","₦ 55,000",27%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/128966/1.jpg?5230,not available,microphones,not available
Lightweight Headworn Headset Microphone Condenser Mic 4-pin,"₦ 7,520","₦ 12,040",38%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/331958/1.jpg?9876,5 out of 5(1),microphones,not available
Shure Professional Long Distance Wireless Microphone System With Dual Handheld Microphone,"₦ 127,000","₦ 134,000",5%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/3198101/1.jpg?8329,not available,microphones,not available
Shure BLX288 / SM58 Dual Channel Handheld Wireless System,"₦ 234,000","₦ 278,000",16%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/1965931/1.jpg?1733,not available,microphones,not available
Suitable for Type-c port Android mobile phone wireless lavalier microphone k8,"₦ 9,017","₦ 12,573",28%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/3852462/1.jpg?8912,not available,microphones,not available
Yamaha Microphone With Cable,"₦ 7,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/1607731/1.jpg?8943,not available,microphones,not available
K8 wireless lavalier microphone is suitable for TYPE-C Android mobile phones,"₦ 8,636","₦ 12,192",29%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/2322462/1.jpg?1944,not available,microphones,not available
"Neck Handling ,portable Rechargeable Fan","₦ 7,999","₦ 9,000",11%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/0947941/1.jpg?4105,4.5 out of 5(2),electronic cables,not available
Super OBD2 Car Chip Tuning Box Plug and Drive SuperOBD2 More Power / More Torque As Nitro OBD2 Chip Tuning NitroOBD2 Chip Tuning Suitable for gasoline vehicles,"₦ 2,731","₦ 4,686",42%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/2121791/1.jpg?3774,4 out of 5(1),electronic cables,not available
1.5 Meters HDMI To HDMI Cable,"₦ 1,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/457463/1.jpg?7076,5 out of 5(1),electronic cables,not available
High Speed SVGA CABLES 1.5M,"₦ 3,000","₦ 5,000",40%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/492965/1.jpg?6205,4.1 out of 5(10),electronic cables,not available
